Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
Education (Higher Education),Program Assistant,54428,0,USA,San Francisco,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Nonprofits,Senior instructional designer,69541,2344,USA,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Business Analyst,97670,19534,USA,San Jose,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
Media & Digital,Operations Specialist,30473,0,USA,Minnetonka,5-7 years,2 - 4 years,College degree,Woman,White
Insurance,Account Executive Officer,107046,11720,USA,Boston,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American
Computing or Tech,Engineering Manager,179713,250036,USA,Boston,11 - 20 years,8 - 10 years,College degree,Man,White
Law,Judicial Attorney,67197,0,USA,Cleveland,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Nonprofits,Program Manager,71048,10149,Congo,Goma,8 - 10 years,5-7 years,Master's degree,Woman,White
Health care,Occupational Therapist,85949,1172,USA,Atlanta,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Insurance,Clinical Care Associate,43756,3906,USA,Hopewell,11 - 20 years,2 - 4 years,College degree,Woman,White
Insurance,Data Scientist,101577,6250,USA,Remote,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Engineering or Manufacturing,Highway Engineer,70322,0,USA,Raleigh,5-7 years,5-7 years,Master's degree,Man,White
Business or Consulting,Staff Geologist,46134,0,USA,Richmond,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Hospitality & Events,Assistant Manager ,22659,1562,USA,Lincoln,5-7 years,5-7 years,High School,Woman,White
Law,Trial Attorney,66415,7813,USA,Washington,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,Quality Assurance Automation Engineer,67587,0,USA,St. Paul,5-7 years,5-7 years,College degree,Man,White
Recruitment or HR,Recruiter,36724,0,USA,Atlanta,5-7 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Librarian,44147,0,USA,Atlanta,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
"Accounting, Banking & Finance",Insurance product manager ,32500,0,UK,Cardiff ,11 - 20 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Continuous Improvement Lead,26500,0,UK,Bournemouth ,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Software engineer,40000,0,UK,London,1 year or less,1 year or less,Master's degree,Man,White
"Accounting, Banking & Finance",Wealth Management Analyst,74229,15627,USA,New York,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Education (Primary/Secondary),Principal,56258,0,USA,Cleveland,11 - 20 years,11 - 20 years,College degree,Man,White
Law,Senior Associate,253942,96889,USA,Washington,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Agriculture or Forestry,Director of operations,54010,0,Uganda,Montreal,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Devops Engineer,118767,31254,USA,Boston,21 - 30 years,11 - 20 years,College degree,Man,White
Government and Public Administration,Systems Analyst,114860,0,USA,Dallas,21 - 30 years,21 - 30 years,Master's degree,Man,White
Nonprofits,Program coordinator ,22659,78,USA,Greensboro,5-7 years,2 - 4 years,College degree,Woman,Black or African American
Law,Shareholder,109390,7813,USA,Reston,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White
"Accounting, Banking & Finance",Payroll,41116,0,Australia,Brisbane,8 - 10 years,5-7 years,High School,Woman,White
Computing or Tech,Director of Software Engineering,180494,0,USA,Seattle,11 - 20 years,5-7 years,College degree,Man,White
"Marketing, Advertising & PR",Digital Marketing Specialist,43756,781,USA,Syracuse,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Retail,Store Manager,72666,1172,USA,New York city,21 - 30 years,11 - 20 years,College degree,Woman,White
Health care,Front desk,30066,0,USA,Trumbull,11 - 20 years,8 - 10 years,High School,Woman,White
Health care,Clinical Psychologist,89856,0,USA,Washington DC,2 - 4 years,2 - 4 years,PhD,Woman,White
Entertainment,"Vice President, Operations",93763,0,USA,Los Angeles,5-7 years,5-7 years,College degree,Woman,Black or African American
Law,Attorney Advisor,101577,0,USA,Washington,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
Media & Digital,journalist,32035,0,USA,phoenix,5-7 years,5-7 years,College degree,Man,White
Entertainment,Student,28441,0,USA,Hartford County,2 - 4 years,2 - 4 years,College degree,Man,White
Computing or Tech,Senior Product Manager,151975,27347,USA,San Francisco,8 - 10 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Administrator,41412,0,USA,Boston,5-7 years,2 - 4 years,College degree,Man,White
Computing or Tech,Lead Software Engineer,130487,11720,USA,Plainfield,11 - 20 years,11 - 20 years,College degree,Man,White
Health care,Clinical Psychologist,89856,0,USA,Washington DC,2 - 4 years,2 - 4 years,PhD,Woman,White
Insurance,Investigator,64130,156,USA,Boston,5-7 years,5-7 years,College degree,Woman,White
Law,Product Counsel,140645,19534,USA,Menlo Park,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,"Hispanic, Latino, or Spanish origin"
Nonprofits,Director of finance and operations,71885,0,USA,Washington DC,11 - 20 years,5-7 years,Master's degree,Woman,White
Law,Attorney 2,55628,0,USA,Spokane,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,Front End Engineer,37000,0,UK,"Birmingham, England",5-7 years,2 - 4 years,College degree,Non-binary,White
Computing or Tech,Systems Administrator,42974,0,USA,Richardson,11 - 20 years,11 - 20 years,College degree,Man,White
"Accounting, Banking & Finance",Controller,64462,0,USA,Indianapolis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Utilities & Telecommunications,Energy analyst,23000,0,UK,Portsmouth ,11 - 20 years,11 - 20 years,College degree,Man,White
Education (Primary/Secondary),EL kindergarten teacher,28129,0,USA,Monmouth ,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Tech writer,125018,0,USA,San Jose,21 - 30 years,21 - 30 years,College degree,Man,Asian or Asian American
Transport or Logistics,Director of Product Development ,140645,28129,USA,Durham,21 - 30 years,21 - 30 years,College degree,Man,White
Computing or Tech,Software developer ,75792,3125,USA,Portland,21 - 30 years,5-7 years,College degree,Man,"Asian or Asian American, White"
Engineering or Manufacturing,Process Engineer,60946,6250,USA,Columbus,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
Computing or Tech,Senior Software Developer,125018,0,USA,Portland,21 - 30 years,21 - 30 years,College degree,Man,White
Law,Associate Attorney,90638,7813,USA,Walnut Creek,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Utilities & Telecommunications,Business Analyst,56258,6250,USA,Reno,5-7 years,1 year or less,Master's degree,Woman,White
"Accounting, Banking & Finance",Senior project manager ,93763,15627,USA,NYC ,5-7 years,5-7 years,College degree,Woman,White
Health care,Director,191433,56258,USA,Columbus ,11 - 20 years,11 - 20 years,PhD,Woman,White
Education (Higher Education),Assistant Director,43756,0,USA,Tucson,8 - 10 years,5-7 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Marketing consultant ,54695,0,USA,Southfield ,11 - 20 years,8 - 10 years,College degree,Woman,White
Nonprofits,Junior project manager ,55945,0,USA,Remote ,8 - 10 years,8 - 10 years,Master's degree,Woman,Middle Eastern or Northern African
Computing or Tech,Recruiter,85949,0,USA,Seattle,11 - 20 years,5-7 years,College degree,Woman,White
Education (Higher Education),PhD student (engineering),32442,3906,USA,NYC,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
Government and Public Administration,Director of policy,97819,6001,Uganda,Toronto Ontario Canada,31 - 40 years,31 - 40 years,College degree,Woman,White
Computing or Tech,software developer,82043,0,USA,arlington,8 - 10 years,8 - 10 years,College degree,Man,White
Computing or Tech,Software Engineer 3,95912,2876,USA,Grimes,11 - 20 years,11 - 20 years,Master's degree,Man,White
Government and Public Administration,Policy Analyst,52390,300,Uganda,"Ottawa, Ontario",5-7 years,2 - 4 years,Master's degree,Woman,White
Government and Public Administration,Administrative Analyst,39849,0,USA,Grapevine,5-7 years,5-7 years,Master's degree,Woman,White
Art & Design,UI Designer,74229,7813,USA,Irvine,2 - 4 years,2 - 4 years,Some college,Non-binary,Asian or Asian American
Nonprofits,Administrative Assistant,17189,0,USA,Chesterfield,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Senior Admission Counselor,39068,0,USA,New Orleans,2 - 4 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,Senior Software Engineer,132831,11954,USA,Seattle,2 - 4 years,2 - 4 years,College degree,Man,White
Nonprofits,Director,39849,15627,USA,Cleveland,11 - 20 years,11 - 20 years,Master's degree,Man,White
Entertainment,Assistant,29691,0,USA,Los Angeles,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Computing or Tech,Associate Producer,70322,11720,USA,Los Angeles,5-7 years,5-7 years,College degree,Man,White
Computing or Tech,Team Manager,41000,1500,UK,Belfast,11 - 20 years,11 - 20 years,Master's degree,Man,White
Government and Public Administration,Auditor III,61336,1562,USA,Columbia,8 - 10 years,5-7 years,Master's degree,Woman,White
Social Work,Program director/therapist,58133,0,USA,Montclair ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Principal Software Engineer,113297,0,USA,Malvern,31 - 40 years,31 - 40 years,College degree,Man,White
Agriculture or Forestry,Marine Biologist,25805,0,Uganda,"Halifax, Nova Scotia",2 - 4 years,2 - 4 years,College degree,Non-binary,White
Education (Primary/Secondary),Teacher,50007,0,USA,Newnan,31 - 40 years,31 - 40 years,Master's degree,Woman,White
Media & Digital,Technical Writer,36007,60,Uganda,Edmonton,11 - 20 years,5-7 years,College degree,Non-binary,White
Education (Higher Education),PhD student/teaching assistant,14064,0,USA,madison,5-7 years,5-7 years,Master's degree,Woman,White
Insurance,Medical Consultant,157835,46881,USA,Chattanooga ,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Insurance,Actuary,89466,9376,USA,Overland Park,5-7 years,5-7 years,Master's degree,Woman,White
Utilities & Telecommunications,Data and insights exec,37500,3000,UK,Glasgow,31 - 40 years,2 - 4 years,Master's degree,Man,White
"Marketing, Advertising & PR",Marketing coordinator ,44537,0,USA,Denver,2 - 4 years,1 year or less,College degree,Woman,White
Media & Digital,3D Project Coordinator,40630,0,USA,Los Angeles,11 - 20 years,8 - 10 years,Master's degree,Woman,Black or African American
Health care,Medical Assistant ,24925,586,USA,West Hartford,5-7 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Associate Software Engineer,44537,0,USA,Indianapolis,5-7 years,1 year or less,College degree,Man,White
Computing or Tech,Software Engineer,80480,2344,USA,Long Beach,21 - 30 years,21 - 30 years,College degree,Man,White
Education (Higher Education),Instructional Designer,44953,4385,Australia,Adelaide,8 - 10 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Adjunct Instructor,36007,0,Uganda,Vancouver,21 - 30 years,5-7 years,Master's degree,Woman,White
Nonprofits,Marketing and Program Manager,58602,1172,USA,Raleigh,5-7 years,5-7 years,College degree,Woman,White
Education (Higher Education),Executive Assistant ,36020,0,USA,Providence,5-7 years,5-7 years,Master's degree,Woman,White
Engineering or Manufacturing,Systems Engineer ,105484,0,USA,Huntsville ,11 - 20 years,11 - 20 years,Master's degree,Man,White
Education (Higher Education),Collections librarian,42133,0,USA,Dayton,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
Education (Higher Education),Associate Professor ,33598,0,USA,Vancouver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Government and Public Administration,International Trade Compliance Analyst,68133,781,USA,Washington,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Insurance,Assistant Vice President,74229,10939,USA,Chicago,8 - 10 years,5-7 years,Some college,Woman,White
Health care,Health Literacy & Plain Language Content Writer,46991,468,USA,Albuquerque,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Government and Public Administration,government affairs director,75792,656,USA,indianapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Nonprofits,Lead Pastor,34379,2344,USA,Arlington,8 - 10 years,11 - 20 years,Master's degree,Woman,White
Utilities & Telecommunications,IT Manager,101577,0,USA,Grants,8 - 10 years,5-7 years,College degree,Man,White
Computing or Tech,software developer,88817,7201,Uganda,Winnipeg,21 - 30 years,21 - 30 years,College degree,Non-binary,White
Utilities & Telecommunications,Network Architect,128924,13283,USA,Laurel,21 - 30 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Senior Tech Lead iOS ,110953,0,USA,St. Louis ,11 - 20 years,11 - 20 years,College degree,Man,White
Business or Consulting,Business analyst,26956,0,Spain,Madrid,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Director of Communications,54010,0,Uganda,Ottawa,11 - 20 years,11 - 20 years,College degree,Woman,White
Government and Public Administration,"Supervisor, Communications and Reporting",102092,781,USA,Chico,31 - 40 years,21 - 30 years,College degree,Woman,White
Education (Primary/Secondary),Vocational evaluator ,86996,0,USA,Alexandria ,21 - 30 years,11 - 20 years,Master's degree,Woman,Black or African American
Health care,CEO,134394,7813,USA,Billings,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Utilities & Telecommunications,"Senior Manager, Network",52210,9001,Uganda,GTA,5-7 years,5-7 years,College degree,Man,White
Education (Higher Education),Senior Associate Registrar,47663,0,USA,Huntsville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Investment Manager,117204,136738,USA,Boston,21 - 30 years,21 - 30 years,College degree,Woman,White
Computing or Tech,Lead Engineer,200810,0,USA,Denver,21 - 30 years,21 - 30 years,College degree,Man,White
Government and Public Administration,Contract Negotiator ,102274,3125,USA,Fredericksburg ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Computing or Tech,Technical Writer,39068,1562,USA,Austin,21 - 30 years,11 - 20 years,College degree,Woman,White
Media & Digital,Project Manager,112516,0,USA,Alexandria,21 - 30 years,11 - 20 years,PhD,Woman,White
Computing or Tech,Software engineer,116423,164086,USA,Seattle,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American
Art & Design,Brand Manager,62509,7813,USA,Lenoir,11 - 20 years,8 - 10 years,College degree,Woman,White
"Marketing, Advertising & PR",Marketing Specialist,49225,97,USA,Silver Spring,5-7 years,5-7 years,College degree,Woman,White
Social Work,Hospital social worker,59383,0,USA,providence,8 - 10 years,5-7 years,Master's degree,Woman,White
Insurance,Training Associate,46959,1562,USA,Cleveland,11 - 20 years,2 - 4 years,College degree,Woman,White
Sales,District Sales Manager,18003,1080,Uganda,Guelph,8 - 10 years,1 year or less,Some college,Man,White
"Marketing, Advertising & PR",Associate Director,101577,0,USA,Los Angeles,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
"Marketing, Advertising & PR",Media Planner,43951,0,USA,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Assistant Director of University Libraries,89856,0,USA,New York,41 years or more,41 years or more,Master's degree,Man,White
